Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,82.889999,83.300003,80.180000,80.820000,80.820000,3310400
2021-08-27,81.040001,83.699997,80.769997,83.260002,83.260002,3203900
2021-08-30,83.709999,83.800003,81.190002,81.889999,81.889999,2942400
2021-08-31,81.550003,83.419998,81.449997,82.730003,82.730003,2923600
2021-09-01,83.440002,83.790001,81.889999,82.239998,82.239998,3513900
2021-09-02,82.610001,83.949997,80.769997,82.930000,82.930000,4047300
2021-09-03,82.510002,82.889999,78.690002,79.430000,79.430000,5111200
2021-09-07,78.000000,81.709999,77.419998,81.449997,81.449997,4218700
2021-09-08,81.440002,82.680000,79.769997,80.290001,80.290001,2430600
2021-09-09,80.150002,82.940002,79.879997,81.650002,81.650002,2797600
2021-09-10,82.440002,83.290001,81.470001,81.559998,81.559998,3082700
2021-09-13,82.349998,84.690002,80.129997,83.839996,83.839996,4024300
2021-09-14,83.540001,84.919998,81.970001,82.419998,82.419998,2539200
2021-09-15,82.000000,83.550003,80.730003,83.260002,83.260002,2192300
2021-09-16,83.059998,83.750000,82.290001,82.540001,82.540001,2282300
2021-09-17,82.519997,84.839996,82.519997,83.790001,83.790001,5422400
2021-09-20,81.690002,83.379997,80.750000,82.959999,82.959999,3457100
2021-09-21,83.769997,84.889999,82.230003,82.919998,82.919998,2975500
2021-09-22,83.300003,86.190002,83.300003,85.330002,85.330002,4821200
2021-09-23,86.629997,89.230003,86.269997,88.160004,88.160004,5090500
2021-09-24,88.160004,91.320000,87.800003,90.690002,90.690002,5984100
2021-09-27,91.959999,95.230003,91.839996,92.410004,92.410004,6276600
2021-09-28,92.080002,94.620003,91.680000,91.970001,91.970001,4014400
2021-09-29,92.449997,92.930000,90.150002,90.669998,90.669998,3248000
2021-09-30,90.320000,90.519997,88.269997,88.949997,88.949997,3201000
2021-10-01,92.300003,93.919998,91.430000,92.330002,92.330002,5114400
2021-10-04,92.029999,93.190002,90.389999,91.059998,91.059998,3290100
2021-10-05,91.750000,92.550003,90.410004,91.010002,91.010002,2253100
2021-10-06,89.330002,90.720001,88.430000,90.070000,90.070000,2423200
2021-10-07,90.889999,90.889999,88.529999,88.790001,88.790001,3003000
2021-10-08,89.169998,90.050003,87.589996,87.730003,87.730003,2565700
2021-10-11,87.510002,88.720001,86.500000,87.320000,87.320000,2253300
2021-10-12,87.449997,89.239998,87.029999,88.669998,88.669998,2997500
2021-10-13,88.500000,88.599998,86.440002,86.730003,86.730003,2753200
2021-10-14,87.330002,88.139999,86.739998,86.900002,86.900002,2070400
2021-10-15,87.559998,88.599998,86.269997,86.320000,86.320000,3269900
2021-10-18,86.190002,86.620003,84.589996,85.879997,85.879997,2428800
2021-10-19,85.980003,85.980003,84.099998,84.470001,84.470001,2912800
2021-10-20,84.500000,85.419998,83.620003,83.910004,83.910004,2365800
2021-10-21,84.110001,84.919998,83.209999,83.730003,83.730003,1793400
2021-10-22,83.239998,84.870003,82.860001,84.629997,84.629997,2315800
2021-10-25,84.580002,85.599998,84.040001,84.910004,84.910004,1907100
2021-10-26,86.269997,86.750000,84.379997,84.419998,84.419998,2231400
2021-10-27,84.699997,85.129997,83.410004,83.489998,83.489998,1987700
2021-10-28,83.410004,84.769997,82.519997,84.250000,84.250000,1895700
2021-10-29,84.000000,86.309998,83.529999,84.430000,84.430000,3366300
2021-11-01,84.430000,88.419998,83.949997,88.279999,88.279999,3315800
2021-11-02,87.739998,88.559998,86.400002,87.779999,87.779999,2156700
2021-11-03,87.169998,90.339996,86.750000,89.769997,89.769997,2829000
2021-11-04,90.260002,90.879997,88.199997,88.730003,88.730003,1782800
2021-11-05,93.540001,98.050003,93.389999,96.669998,96.669998,10283900
2021-11-08,97.339996,98.269997,93.230003,93.709999,93.709999,4918300
2021-11-09,92.180000,93.000000,90.440002,91.349998,91.349998,3738600
2021-11-10,90.059998,91.500000,87.849998,88.750000,88.750000,2739600
2021-11-11,89.000000,89.070000,86.169998,86.300003,86.300003,2759500
2021-11-12,86.339996,86.639999,83.470001,84.570000,84.570000,3909200
2021-11-15,85.199997,86.930000,85.010002,85.260002,85.260002,3021200
2021-11-16,85.000000,85.059998,82.800003,83.339996,83.339996,3514100
2021-11-17,82.949997,84.000000,82.019997,83.269997,83.269997,2417100
2021-11-18,83.750000,83.959999,82.080002,82.940002,82.940002,2285800
2021-11-19,82.000000,82.019997,78.699997,80.470001,80.470001,4430500
2021-11-22,81.000000,81.820000,78.900002,79.269997,79.269997,3096500
2021-11-23,79.959999,80.470001,78.250000,78.839996,78.839996,2262600
2021-11-24,78.180000,79.949997,77.099998,78.339996,78.339996,2147700
2021-11-26,71.029999,71.529999,67.919998,67.980003,67.980003,10722900
2021-11-29,72.129997,72.519997,68.059998,69.889999,69.889999,7839900
